participant_id,trial_id,question_id,condition,question_domain,true_probability,human_initial_estimate,ai_estimate,ai_lower_bound,ai_upper_bound,human_final_estimate,initial_decision,final_decision,initial_confidence,final_confidence,followed_ai,changed_estimate,absolute_update,signed_update,ai_influence,initial_decision_correct,final_decision_correct,decision_correct,response_time,timestamp
participant_f5d70bd6cc39,particip_trial_01,finance_002,ai_point_estimate,finance,74.0,50.0,74.0,,,50.0,option_a,option_a,50.0,50.0,True,False,0.0,0.0,0.0,True,True,True,44.87746,2026-09-25T15:58:13.184944+00:00
participant_f5d70bd6cc39,particip_trial_02,finance_008,ai_point_estimate,finance,68.0,50.0,68.0,,,50.0,option_a,option_a,50.0,50.0,True,False,0.0,0.0,0.0,True,True,True,6.076643,2026-09-25T15:58:19.274510+00:00
participant_f5d70bd6cc39,particip_trial_03,business_003,human_only,business,72.0,50.0,,,,50.0,option_a,option_a,50.0,50.0,,False,0.0,0.0,,True,True,True,6.43034,2026-09-25T15:58:25.737970+00:00
participant_f5d70bd6cc39,particip_trial_04,business_001,human_only,business,65.0,50.0,,,,50.0,option_a,option_a,50.0,50.0,,False,0.0,0.0,,True,True,True,4.829726,2026-09-25T15:58:30.578331+00:00
participant_f5d70bd6cc39,particip_trial_05,forecasting_007,ai_uncertainty,forecasting,73.0,50.0,73.0,64.0,82.0,50.0,option_a,option_a,50.0,50.0,True,False,0.0,0.0,0.0,True,True,True,6.274872,2026-09-25T15:58:36.861943+00:00
participant_f5d70bd6cc39,particip_trial_06,business_007,ai_point_estimate,business,69.0,50.0,69.0,,,50.0,option_a,option_a,50.0,50.0,True,False,0.0,0.0,0.0,True,True,True,6.448634,2026-09-25T15:58:43.322231+00:00
participant_f5d70bd6cc39,particip_trial_07,forecasting_005,ai_uncertainty,forecasting,66.0,50.0,66.0,57.0,75.0,24.0,option_a,option_a,50.0,50.0,True,True,26.0,-26.0,1.625,True,True,True,6.418825,2026-09-25T15:58:49.747871+00:00
participant_f5d70bd6cc39,particip_trial_08,forecasting_006,ai_point_estimate,forecasting,60.0,50.0,60.0,,,50.0,option_a,option_a,50.0,68.0,True,False,0.0,0.0,0.0,True,True,True,6.664852,2026-09-25T15:58:56.420974+00:00
participant_f5d70bd6cc39,particip_trial_09,business_008,ai_uncertainty,business,63.0,50.0,63.0,55.0,71.0,50.0,option_a,option_a,50.0,50.0,True,False,0.0,0.0,0.0,True,True,True,4.101547,2026-09-25T15:59:00.530039+00:00
participant_f5d70bd6cc39,particip_trial_10,finance_009,human_only,finance,81.0,50.0,,,,50.0,option_a,option_a,50.0,50.0,,False,0.0,0.0,,True,True,True,5.260335,2026-09-25T15:59:05.801422+00:00
participant_f5d70bd6cc39,particip_trial_11,forecasting_009,ai_point_estimate,forecasting,39.0,50.0,57.0,,,50.0,option_a,option_a,50.0,50.0,True,False,0.0,0.0,0.0,False,False,False,4.961191,2026-09-25T15:59:10.772789+00:00
participant_f5d70bd6cc39,particip_trial_12,finance_007,ai_uncertainty,finance,64.0,50.0,64.0,55.0,73.0,50.0,option_a,option_a,50.0,50.0,True,False,0.0,0.0,0.0,True,True,True,3.971478,2026-09-25T15:59:14.755050+00:00
participant_f5d70bd6cc39,particip_trial_13,finance_001,ai_uncertainty,finance,67.0,50.0,67.0,58.0,76.0,50.0,option_a,option_a,50.0,50.0,True,False,0.0,0.0,0.0,True,True,True,4.289466,2026-09-25T15:59:19.055995+00:00
participant_f5d70bd6cc39,particip_trial_14,business_009,human_only,business,71.0,50.0,,,,50.0,option_a,option_a,50.0,50.0,,False,0.0,0.0,,True,True,True,4.051534,2026-09-25T15:59:23.118613+00:00
participant_f5d70bd6cc39,particip_trial_15,finance_004,ai_point_estimate,finance,62.0,50.0,62.0,,,50.0,option_a,option_a,50.0,50.0,True,False,0.0,0.0,0.0,True,True,True,4.270769,2026-09-25T15:59:27.400996+00:00
participant_f5d70bd6cc39,particip_trial_16,forecasting_002,human_only,forecasting,62.0,50.0,,,,50.0,option_a,option_a,50.0,50.0,,False,0.0,0.0,,True,True,True,4.486495,2026-09-25T15:59:31.896926+00:00
participant_f5d70bd6cc39,particip_trial_17,business_002,human_only,business,58.0,50.0,,,,50.0,option_a,option_a,50.0,50.0,,False,0.0,0.0,,True,True,True,4.504548,2026-09-25T15:59:36.412954+00:00
participant_f5d70bd6cc39,particip_trial_18,forecasting_001,human_only,forecasting,70.0,50.0,,,,50.0,option_a,option_a,50.0,50.0,,False,0.0,0.0,,True,True,True,4.319885,2026-09-25T15:59:40.744764+00:00
participant_f5d70bd6cc39,particip_trial_19,forecasting_010,ai_uncertainty,forecasting,68.0,50.0,68.0,59.0,77.0,50.0,option_a,option_a,50.0,50.0,True,False,0.0,0.0,0.0,True,True,True,5.162049,2026-09-25T15:59:45.919380+00:00
participant_f5d70bd6cc39,particip_trial_20,business_010,ai_point_estimate,business,57.0,50.0,57.0,,,50.0,option_a,option_a,50.0,50.0,True,False,0.0,0.0,0.0,True,True,True,4.03203,2026-09-25T15:59:49.959365+00:00
